Series ID,A2390558X,A2390417V,A2390462F,A2390507X,A2390561L,A2390606F,A2390651T,A2390559A,A2390418W,A2390463J,A2390508A,A2390562R,A2390607J,A2390652V
Dec-1981,31.2,30.3,32.1,32.6,29.6,31.0,28.7,1.6,2.0,1.9,1.6,2.4,2.0,1.8
Mar-1982,32.3,31.2,33.3,34.2,30.6,32.1,29.9,3.5,3.0,3.7,4.9,3.4,3.5,4.2
Jun-1982,33.4,32.1,34.4,35.3,31.9,33.2,31.2,3.4,2.9,3.3,3.2,4.2,3.4,4.3
Sep-1982,34.1,32.7,35.3,36.0,32.9,34.1,31.6,2.1,1.9,2.6,2.0,3.1,2.7,1.3
Dec-1982,34.5,33.1,35.7,36.5,33.5,34.5,31.9,1.2,1.2,1.1,1.4,1.8,1.2,0.9
Mar-1983,35.2,33.4,36.7,37.1,34.4,35.0,32.0,2.0,0.9,2.8,1.6,2.7,1.4,0.3
Jun-1983,35.9,34.1,37.4,37.9,35.3,35.2,33.3,2.0,2.1,1.9,2.2,2.6,0.6,4.1
Sep-1983,36.4,34.5,38.1,38.3,35.8,35.7,33.8,1.4,1.2,1.9,1.1,1.4,1.4,1.5
Dec-1983,37.0,34.8,39.1,39.3,36.3,36.5,34.1,1.6,0.9,2.6,2.6,1.4,2.2,0.9
Mar-1984,38.0,35.6,40.4,40.5,37.1,37.2,35.1,2.7,2.3,3.3,3.1,2.2,1.9,2.9
Jun-1984,39.0,36.4,41.7,41.1,37.9,37.9,36.3,2.6,2.2,3.2,1.5,2.2,1.9,3.4
Sep-1984,39.6,37.0,42.4,41.6,38.8,38.5,37.1,1.5,1.6,1.7,1.2,2.4,1.6,2.2
Dec-1984,40.2,37.7,42.9,42.1,39.5,38.8,38.8,1.5,1.9,1.2,1.2,1.8,0.8,4.6
Mar-1985,40.7,38.4,43.4,42.5,40.0,39.2,39.2,1.2,1.9,1.2,1.0,1.3,1.0,1.0
Jun-1985,41.8,39.7,44.5,43.3,41.5,40.0,40.1,2.7,3.4,2.5,1.9,3.8,2.0,2.3
Sep-1985,42.6,40.3,45.3,44.0,42.2,40.8,41.0,1.9,1.5,1.8,1.6,1.7,2.0,2.2
Dec-1985,43.2,40.8,46.1,44.5,42.9,41.6,41.8,1.4,1.2,1.8,1.1,1.7,2.0,2.0
Mar-1986,43.8,41.2,46.9,45.0,43.3,42.4,42.3,1.4,1.0,1.7,1.1,0.9,1.9,1.2
Jun-1986,44.4,41.8,47.3,45.8,43.9,42.8,42.7,1.4,1.5,0.9,1.8,1.4,0.9,0.9
Sep-1986,44.9,42.5,47.9,46.0,44.4,43.5,43.3,1.1,1.7,1.3,0.4,1.1,1.6,1.4
Dec-1986,45.8,43.5,48.8,46.7,45.0,44.3,44.0,2.0,2.4,1.9,1.5,1.4,1.8,1.6
Mar-1987,46.3,43.8,49.2,47.2,45.6,45.2,44.2,1.1,0.7,0.8,1.1,1.3,2.0,0.5
Jun-1987,47.0,44.5,50.2,47.5,46.1,45.9,44.6,1.5,1.6,2.0,0.6,1.1,1.5,0.9
Sep-1987,47.7,45.3,51.0,47.9,46.3,46.7,45.2,1.5,1.8,1.6,0.8,0.4,1.7,1.3
Dec-1987,48.7,46.2,52.3,49.2,46.8,47.2,45.8,2.1,2.0,2.5,2.7,1.1,1.1,1.3
Mar-1988,50.0,47.4,53.6,51.0,48.3,48.1,46.7,2.7,2.6,2.5,3.7,3.2,1.9,2.0
Jun-1988,51.6,49.4,55.2,52.6,49.6,49.4,47.9,3.2,4.2,3.0,3.1,2.7,2.7,2.6
Sep-1988,52.8,50.4,56.4,53.8,50.7,51.2,48.9,2.3,2.0,2.2,2.3,2.2,3.6,2.1
Dec-1988,54.2,52.2,57.7,55.0,51.4,52.8,49.8,2.7,3.6,2.3,2.2,1.4,3.1,1.8
Mar-1989,55.5,53.3,59.0,55.9,52.6,54.7,50.8,2.4,2.1,2.3,1.6,2.3,3.6,2.0
Jun-1989,56.8,54.8,60.3,57.3,53.7,56.2,51.7,2.3,2.8,2.2,2.5,2.1,2.7,1.8
